title,author,year,category,class_code,description
Nhập môn lập trình C,Nguyễn Văn Ba,2018,Khoa Công nghệ thông tin,CNTT-001,Giáo trình lập trình C cơ bản dành cho sinh viên năm nhất. Bao gồm các khái niệm cơ bản về biến, vòng lặp, hàm và con trỏ.
Lập trình Python cơ bản,Nguyễn Văn Ba,2020,Khoa Công nghệ thông tin,CNTT-002,Sách giới thiệu về Python cho người mới bắt đầu. Các chủ đề: kiểu dữ liệu, cấu trúc điều khiển, hàm và module.
Cơ sở dữ liệu,Nguyễn Văn Bảy,2019,Khoa Công nghệ thông tin,CNTT-003,Giáo trình về hệ quản trị cơ sở dữ liệu. Bao gồm SQL, thiết kế database và chuẩn hóa dữ liệu.
Cấu trúc dữ liệu và giải thuật,Nguyễn Văn Bảy,2019,Khoa Công nghệ thông tin,CNTT-004,Sách về các cấu trúc dữ liệu cơ bản và thuật toán. Các chủ đề: mảng, danh sách liên kết, cây, đồ thị.
Hệ điều hành,Nguyễn Văn Bình,2018,Khoa Công nghệ thông tin,CNTT-005,Nguyên lý hệ điều hành. Quản lý tiến trình, bộ nhớ, file system và bảo mật.
Mạng máy tính,Nguyễn Văn Bình,2018,Khoa Công nghệ thông tin,CNTT-006,Kiến trúc mạng máy tính. Mô hình OSI, TCP/IP, các giao thức mạng và bảo mật mạng.
Trí tuệ nhân tạo,Nguyễn Văn Hưng,2021,Khoa Công nghệ thông tin,CNTT-007,Giới thiệu về AI. Các thuật toán tìm kiếm, học máy cơ bản và ứng dụng.
Machine Learning cơ bản,Nguyễn Văn Hưng,2022,Khoa Công nghệ thông tin,CNTT-008,Học máy cơ bản với Python. Các thuật toán regression, classification và clustering.
Deep Learning,Nguyễn Văn Hưng,2023,Khoa Công nghệ thông tin,CNTT-009,Mạng nơ ron sâu và ứng dụng trong xử lý ảnh, ngôn ngữ tự nhiên.
Phân tích dữ liệu với Python,Nguyễn Văn Long,2021,Khoa Công nghệ thông tin,CNTT-010,Data science cơ bản với pandas, numpy và matplotlib.
Phát triển Web với Flask,Nguyễn Văn Long,2022,Khoa Công nghệ thông tin,CNTT-011,Xây dựng ứng dụng web backend với Python Flask và SQLAlchemy.
An toàn thông tin,Nguyễn Văn Bình,2021,Khoa Công nghệ thông tin,CNTT-012,Bảo mật hệ thống, mã hóa và các kỹ thuật tấn công phòng thủ.
Khai phá dữ liệu,Nguyễn Văn Hưng,2022,Khoa Công nghệ thông tin,CNTT-013,Data mining, khai thác dữ liệu lớn và phát hiện tri thức.
Điện toán đám mây,Nguyễn Văn Long,2023,Khoa Công nghệ thông tin,CNTT-014,Cloud computing, AWS, Azure và các mô hình dịch vụ cloud.
Phát triển ứng dụng di động,Nguyễn Văn Long,2023,Khoa Công nghệ thông tin,CNTT-015,Phát triển Android với Kotlin và Java.
Thiết kế hệ thống phần mềm,Nguyễn Văn Ba,2021,Khoa Công nghệ thông tin,CNTT-016,Software architecture, design patterns và nguyên lý SOLID.
Quản trị mạng,Nguyễn Văn Bình,2022,Khoa Công nghệ thông tin,CNTT-017,Network administration, quản trị hệ thống mạng doanh nghiệp.
Phân tích thiết kế hệ thống,Nguyễn Văn Ba,2020,Khoa Công nghệ thông tin,CNTT-018,System analysis, UML và quy trình phát triển phần mềm.
Lập trình Java,Nguyễn Văn Long,2021,Khoa Công nghệ thông tin,CNTT-019,Java programming, OOP và phát triển ứng dụng Java.
Lập trình C#,Nguyễn Văn Long,2022,Khoa Công nghệ thông tin,CNTT-020,C# programming và .NET framework.

Kinh tế vi mô,Nguyễn Văn Đức,2018,Khoa Kinh tế và Quản trị kinh doanh,KT-001,Nguyên lý kinh tế vi mô, cung cầu, thị trường và hành vi người tiêu dùng.
Kinh tế vĩ mô,Nguyễn Văn Đức,2018,Khoa Kinh tế và Quản trị kinh doanh,KT-002,Nguyên lý kinh tế vĩ mô, GDP, lạm phát, thất nghiệp và chính sách kinh tế.
Quản trị doanh nghiệp,Nguyễn Văn Minh,2019,Khoa Kinh tế và Quản trị kinh doanh,KT-003,Quản trị doanh nghiệp, chiến lược và quản lý nhân sự.
Marketing căn bản,Nguyễn Văn Minh,2020,Khoa Kinh tế và Quản trị kinh doanh,KT-004,Marketing, nghiên cứu thị trường và hành vi khách hàng.
Quản trị chiến lược,Nguyễn Văn Minh,2021,Khoa Kinh tế và Quản trị kinh doanh,KT-005,Chiến lược doanh nghiệp, phân tích SWOT và hoạch định chiến lược.
